source,target,weight,type
1125265386,1556658182,82,undirected
1125265386,1656188257,20,undirected
1125265386,1680420194,13,undirected
1125265386,1764877696,102,undirected
1125265386,1814478788,160,undirected
1125265386,1827406448,14,undirected
1125265386,100000067805883,116,undirected
1125265386,100000108467197,5,undirected
1125265386,100000186401044,93,undirected
1125265386,100000219586446,45,undirected
1125265386,100000286707826,15,undirected
1125265386,100000317424041,289,undirected
1125265386,100000326531136,41,undirected
1125265386,100000340400116,133,undirected
1125265386,100000360354517,87,undirected
1125265386,100000449818179,68,undirected
1125265386,100000455812182,86,undirected
1125265386,100000525981740,26,undirected
1125265386,100000536654474,1,undirected
1125265386,100000554589395,193,undirected
1125265386,100000857560331,131,undirected
1125265386,100001076445986,121,undirected
1125265386,100001152637775,18,undirected
1125265386,100001242660072,4,undirected
1125265386,100001875961312,34,undirected
1125265386,100002238785233,1,undirected
1125265386,100002274273100,13,undirected
1125265386,100002323475189,1,undirected
1125265386,100002391881569,1,undirected
1125265386,100002418336363,37,undirected
1125265386,100003118272199,37,undirected
1125265386,100003265365304,13,undirected
1125265386,100004041571694,1,undirected
1125265386,100006639254127,3,undirected
1125265386,100007905344960,1,undirected
1125265386,100008168105341,2,undirected
1125265386,100008592521079,5,undirected
1125265386,100011100223163,5,undirected
1125265386,100012888948296,161,undirected
1125265386,100014645973060,1,undirected
1125265386,100014721315082,1,undirected
1125265386,100015789908981,18,undirected
1125265386,100023936348302,1,undirected
1125265386,100027375840747,2,undirected
1125265386,100029930024520,5,undirected
1336882969,1556658182,11,undirected
1336882969,1656188257,11,undirected
1336882969,1680420194,31,undirected
1336882969,1764877696,2,undirected
1336882969,1814478788,20,undirected
1336882969,1815241379,2,undirected
1336882969,100000067805883,14,undirected
1336882969,100000186401044,4,undirected
1336882969,100000219586446,1,undirected
1336882969,100000286707826,30,undirected
1336882969,100000317424041,1,undirected
1336882969,100000340400116,14,undirected
1336882969,100000360354517,6,undirected
1336882969,100000449818179,3,undirected
1336882969,100000554589395,2,undirected
1336882969,100000857560331,28,undirected
1336882969,100001076445986,17,undirected
1336882969,100001152637775,5,undirected
1336882969,100001875961312,24,undirected
1336882969,100002274273100,3,undirected
1336882969,100002418336363,2,undirected
1336882969,100003118272199,9,undirected
1336882969,100008390643762,1,undirected
1336882969,100008592521079,1,undirected
1336882969,100011100223163,5,undirected
1336882969,100012888948296,6,undirected
1336882969,100027375840747,1,undirected
1358283239,100000857560331,2,undirected
1556658182,1656188257,2339,undirected
1556658182,1680420194,844,undirected
1556658182,1764877696,290,undirected
1556658182,1814478788,4688,undirected
1556658182,1815241379,24,undirected
1556658182,1827406448,4,undirected
1556658182,100000067805883,1326,undirected
1556658182,100000075172365,51,undirected
1556658182,100000100040916,80,undirected
1556658182,100000108467197,5,undirected
1556658182,100000131817356,1,undirected
1556658182,100000131829448,9,undirected
1556658182,100000186401044,606,undirected
1556658182,100000219586446,357,undirected
1556658182,100000227251080,7,undirected
1556658182,100000246928560,16,undirected
1556658182,100000257927112,2,undirected
1556658182,100000276094298,5,undirected
1556658182,100000286707826,361,undirected
1556658182,100000317424041,910,undirected
1556658182,100000326531136,62,undirected
1556658182,100000340400116,1758,undirected
1556658182,100000344728341,1,undirected
1556658182,100000360354517,2679,undirected
1556658182,100000420475605,13,undirected
1556658182,100000449818179,849,undirected
1556658182,100000455812182,497,undirected
1556658182,100000474905849,9,undirected
1556658182,100000525981740,47,undirected
1556658182,100000536654474,10,undirected
1556658182,100000552369391,17,undirected
1556658182,100000554589395,939,undirected
1556658182,100000558624843,10,undirected
1556658182,100000792759345,17,undirected
1556658182,100000857560331,1945,undirected
1556658182,100001076445986,1254,undirected
1556658182,100001095390267,2,undirected
1556658182,100001152637775,1715,undirected
1556658182,100001242660072,121,undirected
1556658182,100001765022499,8,undirected
1556658182,100001875961312,632,undirected
1556658182,100002274273100,303,undirected
1556658182,100002323475189,201,undirected
1556658182,100002391881569,6,undirected
1556658182,100002418336363,492,undirected
1556658182,100003118272199,647,undirected
1556658182,100003265365304,67,undirected
1556658182,100003368497248,9,undirected
1556658182,100004041571694,13,undirected
1556658182,100004243149625,4,undirected
1556658182,100004804481736,8,undirected
1556658182,100006321240182,1,undirected
1556658182,100006639254127,27,undirected
1556658182,100006922129305,3,undirected
1556658182,100007317883583,4,undirected
1556658182,100007905344960,3,undirected
1556658182,100008168105341,30,undirected
1556658182,100008292189101,1,undirected
1556658182,100008390643762,36,undirected
1556658182,100008592521079,163,undirected
1556658182,100009294011419,1,undirected
1556658182,100010389822791,10,undirected
1556658182,100010773401029,15,undirected
1556658182,100011100223163,131,undirected
1556658182,100012888948296,824,undirected
1556658182,100014372445404,7,undirected
1556658182,100014721315082,13,undirected
1556658182,100015789908981,106,undirected
1556658182,100023936348302,89,undirected
1556658182,100027375840747,53,undirected
1556658182,100027599450780,13,undirected
1556658182,100029930024520,242,undirected
1556658182,100032601781402,9,undirected
1656188257,1680420194,619,undirected
1656188257,1690253083,15,undirected
