source,target,weight,type
1125265386,1814478788,148,undirected
1125265386,100000067805883,109,undirected
1125265386,100000317424041,280,undirected
1125265386,100000340400116,118,undirected
1125265386,100000554589395,181,undirected
1125265386,100000857560331,123,undirected
1125265386,100001076445986,114,undirected
1125265386,100012888948296,155,undirected
1556658182,1656188257,2161,undirected
1556658182,1680420194,774,undirected
1556658182,1764877696,261,undirected
1556658182,1814478788,4486,undirected
1556658182,100000067805883,1136,undirected
1556658182,100000186401044,566,undirected
1556658182,100000219586446,325,undirected
1556658182,100000286707826,324,undirected
1556658182,100000317424041,850,undirected
1556658182,100000340400116,1658,undirected
1556658182,100000360354517,2497,undirected
1556658182,100000449818179,793,undirected
1556658182,100000455812182,471,undirected
1556658182,100000554589395,900,undirected
1556658182,100000857560331,1842,undirected
1556658182,100001076445986,1140,undirected
1556658182,100001152637775,1638,undirected
1556658182,100001242660072,114,undirected
1556658182,100001875961312,550,undirected
1556658182,100002274273100,271,undirected
1556658182,100002323475189,183,undirected
1556658182,100002418336363,434,undirected
1556658182,100003118272199,582,undirected
1556658182,100008592521079,155,undirected
1556658182,100011100223163,124,undirected
1556658182,100012888948296,769,undirected
1556658182,100015789908981,100,undirected
1556658182,100029930024520,216,undirected
1656188257,1680420194,566,undirected
1656188257,1764877696,144,undirected
1656188257,1814478788,1661,undirected
1656188257,100000067805883,706,undirected
1656188257,100000186401044,368,undirected
1656188257,100000219586446,657,undirected
1656188257,100000286707826,435,undirected
1656188257,100000317424041,789,undirected
1656188257,100000340400116,1544,undirected
1656188257,100000360354517,1820,undirected
1656188257,100000449818179,1568,undirected
1656188257,100000455812182,231,undirected
1656188257,100000554589395,500,undirected
1656188257,100000857560331,1893,undirected
1656188257,100001076445986,936,undirected
1656188257,100001152637775,1184,undirected
1656188257,100001242660072,290,undirected
1656188257,100001875961312,916,undirected
1656188257,100002274273100,931,undirected
1656188257,100002418336363,794,undirected
1656188257,100003118272199,732,undirected
1656188257,100008592521079,678,undirected
1656188257,100011100223163,198,undirected
1656188257,100012888948296,1020,undirected
1656188257,100015789908981,172,undirected
1656188257,100023936348302,193,undirected
1656188257,100029930024520,195,undirected
1680420194,1764877696,110,undirected
1680420194,1814478788,623,undirected
1680420194,100000067805883,531,undirected
1680420194,100000186401044,331,undirected
1680420194,100000219586446,239,undirected
1680420194,100000286707826,510,undirected
1680420194,100000317424041,513,undirected
1680420194,100000340400116,775,undirected
1680420194,100000360354517,1060,undirected
1680420194,100000449818179,266,undirected
1680420194,100000455812182,123,undirected
1680420194,100000554589395,397,undirected
1680420194,100000857560331,805,undirected
1680420194,100001076445986,650,undirected
1680420194,100001152637775,687,undirected
1680420194,100001242660072,180,undirected
1680420194,100001875961312,1233,undirected
1680420194,100002274273100,303,undirected
1680420194,100002418336363,229,undirected
1680420194,100003118272199,764,undirected
1680420194,100008592521079,189,undirected
1680420194,100011100223163,119,undirected
1680420194,100012888948296,579,undirected
1680420194,100015789908981,108,undirected
1680420194,100027375840747,133,undirected
1764877696,1814478788,209,undirected
1764877696,100000067805883,714,undirected
1764877696,100000186401044,594,undirected
1764877696,100000219586446,789,undirected
1764877696,100000246928560,124,undirected
1764877696,100000286707826,140,undirected
1764877696,100000317424041,961,undirected
1764877696,100000340400116,350,undirected
1764877696,100000360354517,1281,undirected
1764877696,100000449818179,446,undirected
1764877696,100000455812182,496,undirected
1764877696,100000552369391,121,undirected
1764877696,100000554589395,525,undirected
1764877696,100000857560331,405,undirected
1764877696,100001076445986,498,undirected
1764877696,100002418336363,113,undirected
1764877696,100008592521079,129,undirected
1764877696,100012888948296,1014,undirected
1814478788,100000067805883,905,undirected
1814478788,100000186401044,358,undirected
1814478788,100000219586446,177,undirected
1814478788,100000286707826,294,undirected
1814478788,100000317424041,487,undirected
1814478788,100000340400116,2085,undirected
1814478788,100000360354517,1632,undirected
1814478788,100000449818179,541,undirected
1814478788,100000455812182,249,undirected
1814478788,100000554589395,685,undirected
1814478788,100000857560331,1004,undirected
1814478788,100001076445986,829,undirected
1814478788,100001152637775,1706,undirected
1814478788,100001875961312,424,undirected
1814478788,100002274273100,219,undirected
1814478788,100002323475189,122,undirected
1814478788,100002418336363,269,undirected
1814478788,100003118272199,349,undirected
1814478788,100008592521079,131,undirected
1814478788,100011100223163,199,undirected
1814478788,100012888948296,957,undirected
1814478788,100015789908981,225,undirected
1814478788,100029930024520,609,undirected
1815241379,100000067805883,149,undirected
1815241379,100000186401044,126,undirected
1815241379,100000219586446,324,undirected
1815241379,100000317424041,220,undirected
1815241379,100000360354517,167,undirected
1815241379,100000554589395,104,undirected
1815241379,100001076445986,155,undirected
1815241379,100012888948296,358,undirected
1827406448,100000067805883,127,undirected
1827406448,100000186401044,103,undirected
1827406448,100000219586446,199,undirected
